"Report_ID","Date","Status","Location","Incident_Category","Incident_Type","Description","Report","Report_Time","Length"
1700001,"1/1/17","Cleared by Exceptional Means","1141 27Th St","ALCOHOL","ALCOHOL                                     Alcohol/Drug Overdose","A student was transported to a local hospital for medical treatment following an alcohol overdose."," 1/1/17    - 1:22 am                     Location: 1141 27TH ST                                            Report #: 1700001
Occurred: 1/1/17     - 1:22 am      to 1/1/17   - 2:31 am                                Disposition: Cleared by Exceptional Means
Incident: ALCOHOL                                     Alcohol/Drug Overdose
Summary: A student was transported to a local hospital for medical treatment following an alcohol overdose.
          cc: Student Affairs, Judicial Affairs","1/1/17    - 1:22 am","1/1/17     - 1:22 am      to 1/1/17   - 2:31 am"
1700002,"1/1/17","CLOSED","Radisson Midcity Hotel","DISTURBANCE","DISTURBANCE                                 Disturbing The Peace","A staff member reported that a security guard chest bumped him multiple times during a confrontation over him picking"," 1/1/17    - 7:15 am                     Location: RADISSON MIDCITY HOTEL                                  Report #: 1700002
Occurred: 1/1/17     - 7:15 am      to 1/1/17   - 8:21 am                                Disposition: CLOSED
Incident: DISTURBANCE                                 Disturbing The Peace
Summary: A staff member reported that a security guard chest bumped him multiple times during a confrontation over him picking
          recyclables from the trash outside the location.
          cc: HR","1/1/17    - 7:15 am","1/1/17     - 7:15 am      to 1/1/17   - 8:21 am"
1700003,"1/1/17","CLOSED","Figueroa Street Structure","PROPERTY","PROPERTY                                    Damaged Property","A non-USC male reported that the roof of his truck was damaged when it struck an overhead cross beam as he was driving on"," 1/1/17    - 11:42 am                    Location: FIGUEROA STREET STRUCTURE                               Report #: 1700003
Occurred: 1/1/17     - 11:42 am     to 1/1/17   - 11:42 am                               Disposition: CLOSED
Incident: PROPERTY                                    Damaged Property
Summary: A non-USC male reported that the roof of his truck was damaged when it struck an overhead cross beam as he was driving on
          the third floor of the location.
          cc: Risk Management","1/1/17    - 11:42 am","1/1/17     - 11:42 am     to 1/1/17   - 11:42 am"
1700004,"1/1/17","Inactive Investigation","Century Apartments","THEFT PETTY","THEFT-PETTY                                 Theft Petty-Plain","A suspect removed the wheels from a bicycle."," 1/1/17    - 2:19 pm                     Location: CENTURY APARTMENTS                                      Report #: 1700004
Occurred: 12/29/16 - 2:00 pm        to 12/31/16 - 10:15 pm                               Disposition: Inactive Investigation
Incident: THEFT-PETTY                                 Theft Petty-Plain
Summary: A suspect removed the wheels from a bicycle.","1/1/17    - 2:19 pm","12/29/16 - 2:00 pm        to 12/31/16 - 10:15 pm"
1700005,"1/1/17","CLOSED","Carol Little Building","TRAFFIC","TRAFFIC                                     Traffic Collision Without Injuries","A non-USC male drove a cart into a light post outside the location, causing minor damage."," 1/1/17    - 2:10 pm                     Location: CAROL LITTLE BUILDING                                   Report #: 1700005
Occurred: 1/1/17     - 2:10 pm      to 1/1/17   - 2:37 pm                                Disposition: CLOSED
Incident: TRAFFIC                                     Traffic Collision Without Injuries
Summary: A non-USC male drove a cart into a light post outside the location, causing minor damage.
          cc: Risk Management","1/1/17    - 2:10 pm","1/1/17     - 2:10 pm      to 1/1/17   - 2:37 pm"
1700006,"1/1/17","CLOSED","Grand Ave. Structure","ROBBERY","ROBBERY                                     Robbery-Strong-Arm","Three suspects approached a student and his companion outside the location and demanded their property. When the student"," 1/1/17    - 9:20 pm                     Location: GRAND AVE. STRUCTURE                                    Report #: 1700006
Occurred: 1/1/17     - 9:20 pm      to 1/1/17   - 10:14 pm                               Disposition: CLOSED
Incident: ROBBERY                                     Robbery-Strong-Arm
Summary: Three suspects approached a student and his companion outside the location and demanded their property. When the student
          refused to comply the suspects punched him several times in the face. The suspects then removed the student's cellular phone
          and his companion's purse and fled on foot.
          cc: Student Affairs
","1/1/17    - 9:20 pm","1/1/17     - 9:20 pm      to 1/1/17   - 10:14 pm"
1700007,"1/1/17","Cleared Arrest","El Huero","ALCOHOL","ALCOHOL                                  Drunk In Public","A non-USC male was arrested for public intoxication."," 1/1/17  - 10:36 pm                   Location: EL HUERO                                                        Report #: 1700007
Occurred: 1/1/17   - 10:36 pm   to 1/1/17    - 11:08 pm                                   Disposition: Cleared Arrest
Incident: ALCOHOL                                  Drunk In Public
Summary: A non-USC male was arrested for public intoxication.","1/1/17  - 10:36 pm","1/1/17   - 10:36 pm   to 1/1/17    - 11:08 pm"
1700008,"1/1/17","CLOSED","Keck Hospital Of Usc","PROPERTY","PROPERTY                                 Recovered Property Without a Crime","A car service driver found a purse in his vehicle after dropping off a passenger at the location and turned it over to an officer on"," 1/1/17  - 11:49 pm                   Location: KECK HOSPITAL OF USC                                            Report #: 1700008
Occurred: 1/1/17   - 11:49 pm   to 1/1/17    - 11:50 pm                                   Disposition: CLOSED
Incident: PROPERTY                                 Recovered Property Without a Crime
Summary: A car service driver found a purse in his vehicle after dropping off a passenger at the location and turned it over to an officer on
          the premises.","1/1/17  - 11:49 pm","1/1/17   - 11:49 pm   to 1/1/17    - 11:50 pm"
NA,"1/2/17","CLOSED","Seeley Wintersmith Mudd Memorial Hall","SERVICE","SERVICE                                  Suspicious Circumstances","A suspect attempted to pry open two doors to gain entry to the location."," 1/2/17  - 8:58 am                    Location: SEELEY WINTERSMITH MUDD MEMORIAL HALL                           Report #: 1700009
                                                           OF PHILOSOPH
Occurred: 1/2/17   - 8:50 am    to 1/2/17    - 8:55 am                                    Disposition: CLOSED
Incident: SERVICE                                  Suspicious Circumstances
Summary: A suspect attempted to pry open two doors to gain entry to the location.","1/2/17  - 8:58 am","1/2/17   - 8:50 am    to 1/2/17    - 8:55 am"
1700010,"1/2/17","Cleared Arrest","2631 Menlo Av","VEHICLE CODE","VEHICLE CODE                             Driving Without Consent","A suspect was arrested for removing a non-USC female's vehicle from the location."," 1/2/17  - 6:04 pm                    Location: 2631 MENLO AV                                                   Report #: 1700010
Occurred: 1/2/17   - 4:45 pm    to 1/2/17    - 5:00 pm                                    Disposition: Cleared Arrest
Incident: VEHICLE CODE                             Driving Without Consent
Summary: A suspect was arrested for removing a non-USC female's vehicle from the location.","1/2/17  - 6:04 pm","1/2/17   - 4:45 pm    to 1/2/17    - 5:00 pm"
